"Mppcv";"Mppnm_";"Link2MPG";"Link2PVT"
"4484788";"Ezetimibe / Atorvastatin Sandoz 10/10 filmomh. tabl. 100 x (UD)";"http://www.bcfi.be/nl/contents/jump?amppid=185199";"http://www.bcfi.be/nl/contents/jump?amppid=185199&view=pvt"
"4484796";"Ezetimibe / Atorvastatin Sandoz 10/20 filmomh. tabl. 100 x (UD)";"http://www.bcfi.be/nl/contents/jump?amppid=185207";"http://www.bcfi.be/nl/contents/jump?amppid=185207&view=pvt"
"4484804";"Ezetimibe / Atorvastatin Sandoz 10/40 filmomh. tabl. 100 x (UD)";"http://www.bcfi.be/nl/contents/jump?amppid=185215";"http://www.bcfi.be/nl/contents/jump?amppid=185215&view=pvt"
"4484812";"Ezetimibe / Atorvastatin Sandoz 10/80 filmomh. tabl. 100 x (UD)";"http://www.bcfi.be/nl/contents/jump?amppid=194233";"http://www.bcfi.be/nl/contents/jump?amppid=194233&view=pvt"
"4851861";"Ezetimibe EG (Orifarm Belgium) tabl. 100 x 10 mg";"http://www.bcfi.be/nl/contents/jump?amppid=197053";"http://www.bcfi.be/nl/contents/jump?amppid=197053&view=pvt"
"4731311";"Ezetimibe EG (PI-Pharma) tabl. 100 x 10 mg";"http://www.bcfi.be/nl/contents/jump?amppid=201574";"http://www.bcfi.be/nl/contents/jump?amppid=201574&view=pvt"
"3651999";"Ezetimibe EG tabl. 100 x 10 mg";"http://www.bcfi.be/nl/contents/jump?amppid=155416";"http://www.bcfi.be/nl/contents/jump?amppid=155416&view=pvt"
"3689346";"Ezetimibe Krka tabl. 98 x 10 mg";"http://www.bcfi.be/nl/contents/jump?amppid=157545";"http://www.bcfi.be/nl/contents/jump?amppid=157545&view=pvt"
"4138244";"Ezetimibe / Rosuvastatine Teva 10/10 tabl. 100 x";"http://www.bcfi.be/nl/contents/jump?amppid=173757";"http://www.bcfi.be/nl/contents/jump?amppid=173757&view=pvt"
"4138251";"Ezetimibe / Rosuvastatine Teva 10/20 tabl. 100 x";"http://www.bcfi.be/nl/contents/jump?amppid=173765";"http://www.bcfi.be/nl/contents/jump?amppid=173765&view=pvt"
"4138228";"Ezetimibe / Rosuvastatine Teva 10/5 tabl. 100 x";"http://www.bcfi.be/nl/contents/jump?amppid=173740";"http://www.bcfi.be/nl/contents/jump?amppid=173740&view=pvt"
"4138210";"Ezetimibe / Rosuvastatine Teva 10/5 tabl. 30 x";"http://www.bcfi.be/nl/contents/jump?amppid=173732";"http://www.bcfi.be/nl/contents/jump?amppid=173732&view=pvt"
"4616405";"Ezetimibe / Rosuvastatin Sandoz 10/10 filmomh. tabl. 90 x";"http://www.bcfi.be/nl/contents/jump?amppid=190686";"http://www.bcfi.be/nl/contents/jump?amppid=190686&view=pvt"
"4616413";"Ezetimibe / Rosuvastatin Sandoz 10/20 filmomh. tabl. 90 x";"http://www.bcfi.be/nl/contents/jump?amppid=190694";"http://www.bcfi.be/nl/contents/jump?amppid=190694&view=pvt"
"4616421";"Ezetimibe / Rosuvastatin Sandoz 10/40 filmomh. tabl. 90 x";"http://www.bcfi.be/nl/contents/jump?amppid=190702";"http://www.bcfi.be/nl/contents/jump?amppid=190702&view=pvt"
"3577038";"Ezetimibe Sandoz tabl. 28 x 10 mg";"http://www.bcfi.be/nl/contents/jump?amppid=156364";"http://www.bcfi.be/nl/contents/jump?amppid=156364&view=pvt"
"3577053";"Ezetimibe Sandoz tabl. 98 x 10 mg";"http://www.bcfi.be/nl/contents/jump?amppid=156372";"http://www.bcfi.be/nl/contents/jump?amppid=156372&view=pvt"
"4486114";"Ezetimibe / Simvastatine EG 10/20 tabl. 100 x";"http://www.bcfi.be/nl/contents/jump?amppid=155424";"http://www.bcfi.be/nl/contents/jump?amppid=155424&view=pvt"
"4486122";"Ezetimibe / Simvastatine EG 10/40 tabl. 100 x";"http://www.bcfi.be/nl/contents/jump?amppid=155432";"http://www.bcfi.be/nl/contents/jump?amppid=155432&view=pvt"
