"GalCV";"NGalNm";"FGalNm";"Amb";"Hosp"
"00306";"inj./instill. oploss. (pdr. + solv.) i.m./i.v./i.vesic./endotrach./i.perit./i.pleur. [flac. + amp.]";"sol. inj./instill. (pdr + solv.) i.m./i.v./i.vésic./endotrach./i.périt./i.pleur. [flac. + amp.]";true;false
"00307";"inj. oploss. (pdr. + solv.) i.m. [flac. + voorgev. spuit]";"sol. inj. (pdr + solv.) i.m. [flac. + ser. préremplie]";true;false
"00308";"gel Dermgel";"gel Dermgel";true;false
"00309";"cut. oploss. Once";"sol. cut. Once";true;false
"00310";"inj. oploss. epidur./epilaes./p.neur. [flac., locoregionale infiltr.]";"sol. inj. épilés./p.dural/p.neur. [flac., infiltr. locorégionale]";true;false
"00311";"inj./inf. oploss. i.m./i.v. [flac.]";"sol. inj./perf. i.m./i.v. [flac.]";true;false
"00312";"inj. susp. verl. afgifte i.derm./i.artic. [flac.]";"susp. inj. lib. prol. i.derm./i.artic. [flac.]";true;false
"00313";"inj./inf. oploss. (pdr.) i.v./i.arter. [flac.]";"sol. inj./perf. (pdr) i.v./i.artér. [flac.]";true;false
"00314";"verneveloploss. (unidose)";"sol. inhal. nébul. (unidose)";true;false
"00315";"inj. oploss. i.arter./i.lymf./i.uter. [amp.]";"sol. inj. i.artér./i.lymph./i.utér. [amp.]";true;false
"00316";"inj. oploss. i.m./s.c. [voorgev. spuit]";"sol. inj. i.m./s.c. [ser. préremplie]";true;false
"00317";"inj. susp. (pdr. + solv.) i.m./s.c. [flac. + voorgev. spuit]";"susp. inj. (pdr + solv.) i.m./s.c. [flac. + ser. préremplie]";true;false
"00318";"inj. oploss. (pdr. + solv.) i.m./s.c. [flac. + voorgev. spuit]";"sol. inj. (pdr + solv.) i.m./s.c. [flac. + ser. préremplie]";true;false
"00319";"verband Sacrum Border";"pansement Sacrum Border";true;false
"00320";"inj. oploss. i.m./s.c./i.derm./i.artic./p.artic. [amp.]";"sol. inj. i.m./s.c./i.derm./i.artic./p.artic. [amp.]";true;false
"00321";"i.v./or. inf./drinkb. oploss. conc. (pdr.) [flac.]";"sol. perf./buv. à diluer (pdr) i.v./or. [flac.]";true;false
"00322";"inj./inf./drinkb. oploss. (pdr. + solv.) i.m./i.v./or. [flac. + amp.]";"sol. inj./perf./buv. (pdr + solv.) i.m./i.v./or. [flac. + amp.]";true;false
"00323";"dosisaerosol oploss. HFA [inhalator]";"sol. inhal. (flacon press.) HFA [inhalateur]";true;false
"00324";"dosisaerosol oploss. HFA";"sol. inhal. (flacon press.) HFA";true;false
"00325";"dosisaerosol oploss. Autohaler [ademgest.]";"sol. inhal. (flacon press.) Autohaler [déclenché par la resp.]";true;false
"00326";"inhalatiepdr. (voorverdeeld) Diskus";"poudre inhal. (unidose) Diskus";true;false
"00327";"kauwtabl. Forte Citroen";"compr. à croquer Forte Citron";true;false
"00328";"bruistabl. Forte Sinaasappel";"compr. efferv. Forte Orange";true;false
"00329";"nas. spray oploss. Eucalyptus";"sol. spray nas. Eucalyptus";true;false
"00330";"bruisgran. (zakjes) Forte Orange";"gran. efferv. (sachet) Forte Orange";true;false
"00331";"gastr./or. oploss.";"sol. gastr./or.";true;false
"00332";"inj. oploss. epidur./p.neur. [amp., locoregionale infiltr.]";"sol. inj. p.dural/p.neur. [amp., infiltr. locorégionale]";true;false
"00333";"harde caps. Immediate Release";"gél. Immediate Release";true;false
"00334";"inj. oploss. i.artic. [voorgev. spuit]";"sol. inj. i.artic. [ser. préremplie]";true;false
"00335";"ocul. druppels verl. afgifte LA Sine Conservans [zonder bew.]";"collyre lib. prol. LA Sine Conservans [sans cons.]";true;false
"00336";"inj./instill. oploss. i.m./i.v./i.artic./i.burs./rect. [amp.]";"sol. inj./instill. i.m./i.v./i.artic./i.burs./rect. [amp.]";true;false
"00337";"inj./inf. oploss. (pdr.) i.m./i.v./i.artic./i.burs. [flac.]";"sol. inj./perf. (pdr) i.m./i.v./i.artic./i.burs. [flac.]";true;false
"00338";"auric./ocul. druppels susp. [zonder bew.]";"gtts susp. auric./opht. [sans cons.]";true;false
"00339";"auric./ocul. zalf [zonder bew.]";"pommade auric./opht. [sans cons.]";true;false
"00340";"oromuc. zuigtabl. Fruit";"compr. à sucer oromuq. Fruit";true;false
"00341";"nas. spray oploss. Menthol";"sol. spray nas. Menthol";true;false
"00342";"inj. susp. s.c. [flac.]";"susp. inj. s.c. [flac.]";true;false
"00343";"inhalatiepdr. (voorverdeeld) Forspiro";"poudre inhal. (unidose) Forspiro";true;false
"00344";"inj. oploss. (pdr. + solv.) i.v./s.c. [flac. + voorgev. spuit]";"sol. inj. (pdr + solv.) i.v./s.c. [flac. + ser. préremplie]";true;false
"00345";"inj. oploss./inj. oploss. (conc.) i.v./s.c. [flac.]";"sol. inj./sol. inj. à diluer i.v./s.c. [flac.]";true;false
"00346";"rect. gel";"gel rect.";true;false
"00347";"inj. oploss. s.c. SureClick [voorgev. pen]";"sol. inj. s.c. SureClick [stylo prérempli]";true;false
"00348";"orofar. zuigtabl. Vit. C Sinaasappel";"past. orophar. Vit. C Orange";true;false
"00349";"kauwtabl. D3 Sinaasappel";"compr. à croquer D3 Orange";true;false
"00350";"filmomh. tabl. Junior";"compr. pellic. Junior";true;false
"00351";"inj. oploss. (pdr.) i.v. [flac.]";"sol. inj. (pdr) i.v. [flac.]";true;false
