"mppcv";"Stofcv";"ppid";"hyr_";"hyrcv_";"mpcv_";"mppnm_";"ppq";"ppgal";"InRank";"StofNm_";"Dim";"InX";"InQ";"InU";"Add";"InBasQ";"InBasU";"InQ2";"InU2";"Amb";"Hosp"
"2321644";"00237";"1";"PDFA";"0025973";"6353-59";"Combigan 2/5 ocul. druppels oploss. 3x5ml";0;"ocul. druppels oploss.";1;"brimonidine tartraat";;;2.0000;"mg";"/";1.0000;"ml";0.0000;;true;false
"2321644";"01740";"1";"PDFA";"0025973";"6353-59";"Combigan 2/5 ocul. druppels oploss. 3x5ml";0;"ocul. druppels oploss.";2;"timolol";;;5.0000;"mg";"/";1.0000;"ml";0.0000;;true;false
"1404920";"00946";"1";"DACA";"0020602";"6361-372";"Combivent 0,5/2,5 verneveloploss. (unidose) 20x2,5ml";0;"verneveloploss. (unidose)";1;"ipratropium bromide";;;0.5000;"mg";"/";2.5000;"ml";0.0000;;true;false
"1404920";"01581";"1";"DACA";"0020602";"6361-372";"Combivent 0,5/2,5 verneveloploss. (unidose) 20x2,5ml";0;"verneveloploss. (unidose)";2;"salbutamol";;;2.5000;"mg";"/";2.5000;"ml";0.0000;;true;false
"1688951";"00946";"1";"DACA";"0020602";"6361-372";"Combivent 0,5/2,5 verneveloploss. (unidose) 60x2,5ml";0;"verneveloploss. (unidose)";1;"ipratropium bromide";;;0.5000;"mg";"/";2.5000;"ml";0.0000;;true;false
"1688951";"01581";"1";"DACA";"0020602";"6361-372";"Combivent 0,5/2,5 verneveloploss. (unidose) 60x2,5ml";0;"verneveloploss. (unidose)";2;"salbutamol";;;2.5000;"mg";"/";2.5000;"ml";0.0000;;true;false
"1378280";"01005";"1";"KDCABE";"0020198";"6379-1966";"Combivir 150/300 filmomh. tabl. (deelb.) 60x";0;"filmomh. tabl. (deelb. kwantit.)";1;"lamivudine";;;150.0000;"mg";;0.0000;;0.0000;;true;false
"1378280";"01851";"1";"KDCABE";"0020198";"6379-1966";"Combivir 150/300 filmomh. tabl. (deelb.) 60x";0;"filmomh. tabl. (deelb. kwantit.)";2;"zidovudine";;;300.0000;"mg";;0.0000;;0.0000;;true;false
"2697993";"00577";"1";"GBCA";"0006270";"6387-828";"Combodart 0,5/0,4 harde caps. geregul. afgifte 30x";0;"harde caps. geregul. afgifte";1;"dutasteride";;;0.5000;"mg";;0.0000;;0.0000;;true;false
"2697993";"01673";"1";"GBCA";"0006270";"6387-828";"Combodart 0,5/0,4 harde caps. geregul. afgifte 30x";0;"harde caps. geregul. afgifte";2;"tamsulosine hydrochloride";;;0.4000;"mg";;0.0000;;0.0000;;true;false
"2719474";"00577";"1";"GBCA";"0006270";"6387-828";"Combodart 0,5/0,4 harde caps. geregul. afgifte 90x";0;"harde caps. geregul. afgifte";1;"dutasteride";;;0.5000;"mg";;0.0000;;0.0000;;true;false
