"MPcv";"Hyrcv";"Hyr_";"MPnm";"IRCV";"BT";"note";"pos";"WadaN";"WadaF";"rank";"nmcv";"Orphan";"SpecRules";"Narcotic";"Amb";"Hosp"
"14845-372";"0007500";"JAAC";"Lendormin";"00372";false;;;;;0;0;false;false;false;true;false
"3715-612";"0004036";"DBBBA";"Bromhexine EG";"00612";false;;;;;0;0;false;false;false;true;false
"31682-2014";"0013417";"IEAB";"D-Vital";"02014";false;;;;;0;0;false;false;false;true;false
"49163-1354";"8905531";"EBAB";"Wegovy";"01354";true;;;;;0;0;false;false;false;true;false
"18184-232";"8906133";"MAABA";"Myleran";"00232";false;;;;;0;0;false;false;false;true;false
"11619-711";"0012864";"MABCF";"Gemcitabine Fresenius Kabi";"00711";false;;;;;0;0;false;false;false;true;false
"24653-4150";"0003970";"DBAF";"Therafixx-Tusso";"04150";false;;;;;0;0;false;false;false;true;false
"33704-1800";"0026179";"JDAB";"Intuniv";"01800";true;;;;;0;0;false;false;false;true;false
"19331-1289";"0003715";"DADAB";"Novolizer Budesonide";"01289";false;;;"c";"c";0;0;false;false;false;true;false
"877-1818";"0007260";"IEBA";"Alendronate Teva";"01818";false;;;;;0;0;false;false;false;true;false
"26252-596";"0006635";"HCAA";"Temgesic";"00596";false;;;"N";"N";0;0;false;true;false;true;false
"3954-1818";"0006023";"FHA";"Cabergoline Teva";"01818";false;;;;;0;0;false;false;false;true;false
"3392-3624";"0004036";"DBBBA";"Bisolvon Slijmhoest";"03624";false;;;;;0;0;false;false;false;true;false
"8268-1446";"0006023";"FHA";"Dostinex";"01446";false;;;;;0;0;false;false;false;true;false
"3897-2956";"0000455";"ADABA";"Burinex";"02956";false;;;"D";"D";0;0;false;false;false;true;false
"7955-2485";"0013177";"MAEBB";"Docetaxel Eugia";"02485";false;;;;;0;0;false;false;false;true;false
"3830-539";"0003392";"CGAB";"Budenofalk";"00539";false;;;"C";"C";0;0;false;false;false;true;false
